"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","2.68720981041909E+24","No"
"0x072bbd6f9dfd30662d3d5f4b2ab6ee07cb24ffb6","3.40588976234452E+28","No"
"0x0e5acb60073c7da8582942e43df06b83f1a2d30c","5.590080757109E+30","No"
"0x194f137e8274bb88a495f3a0d6c67b26c7d7fe11","9.20731863986225E+23","No"
"0x1ae15785c1efaee7ed589f17b04a0debde0f29b5","1.68113250581473E+27","No"
"0x398ca16bccd209edbb25c0a5a57d759f98fdb921","2.61871689547076E+24","No"
"0x3a214aedcfdd9c2bf6a336d850c898ed3c140695","1.35E+27","No"
"0x3d95cf6b66762b3ee912aacb293e40fc950647e0","1.8999E+28","No"
"0x3e1ac2e38d877bb1c42871fbfd67d1b330f8eb7b","1.213026895E+27","No"
"0x42e6d8042655ff5d49bb2cf571253432bda38fd0","1.81655344654006E+28","No"
"0x42ed619fdb869d411f9e10befd2df4e3460c280f","1.83992428906168E+28","No"
"0x4dcb98a0d9eabbb4dfe6ad61d5a5bdbdf0ae6a1a","3.63083233363435E+28","No"
"0x507d67fd4f27c96974f3519486e9da6b0bac3396","2.09968553617575E+29","No"
"0x56497dfbf8dac42e8ebea9b82be76d812bbe0b33","9E+24","No"
"0x5adf995906cd4c4a9711f1b5dedaa979603bffb1","4.00000000000011E+30","No"
"0x700db53f692f434c7b59a6d7fc66bf76e8474cc8","7.57109E+23","No"
"0x76b44b5e4b41850a8307dcc0387126f0f1408d69","1E+22","No"
"0x80ceab0221ab5ef40575a80e7cc6fea28c6bdfc2","3.15772E+23","No"
"0x89de792b204f0b1951107fc70735743ba5e4dfd7","1.06388588E+27","No"
"0x8e83fd80ea2f2c7968fc854542485efe6e5d1f8f","3.393E+21","No"
"0x98b216b27c2e62b179a49c3d09803b755fe7b7ff","400","No"
"0x9fd8812b10dfcb834e40a0c020e05870d98c890b","2.82E+25","No"
"0xa0fae623da5b2b479a57192a387e3b53d3f0b202","4.57097254881021E+25","No"
"0xa103e39a3b2ca73b2952bc76bc550b0d23ac859c","1.68333333333333E+18","No"
"0xa61ae27cf76d9313026e3bf621892068e5a507e5","2.15879107699687E+21","No"
"0xa63cf89bf2352ab912c661196d03229887281f31","9.67095459522773E+27","No"
"0xad97a9120002f442f356c4f106e7da6ad52f6d4f","9.22167615619172E+27","No"
"0xb60e298e9019d265b543cdad401b0fdcd4f9330a","1.3E+27","No"
"0xbb83219930e07f7ea98654571d68856103428608","4.00123123E+26","No"
"0xcdfdb98842c90d8ef9201ef5b71862975917f15c","1.66880735607056E+28","No"
"0xd9573022ee7421ffec7731a7c5e3933009dfe646","6E+26","No"
"0xdd9cbb9c1b50cc83ccdf1bd85d761df18d44f641","1.99977663614027E+28","No"
"0xdf647636e6d91a4c6df38347ea93fbc85e43e80b","1E+24","No"
"0xe55d6753d353c36ac36f54acb7cca4dc05c93ca2","4.00032474681818E+26","No"
"0xead086f1d1df53eef32895520132685883e6a15a","9.6572995495E+26","No"
"0xecdaaeba7b7933bb8f7cfc255394724eae687022","1000","No"
"0xf0c7676a588f4a634c1081ce8b2a369fea39f19e","9.376064632E+27","No"
