"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000d41c96294ccdac8612bdfe29c641af","36","No"
"0x45544abf5936deb78490d38ec42b80757d16c014","1","No"
"0x9d4321ff203bf403f832697643f256818b686df6","4.5689066167059E+17","No"
"0x000000000035b5e5ad9019092c665357240f594e","357","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","57","No"
"0x60699270162ab751ac8883f074bb3c530f63b6ad","3.08650243464252E+24","No"
"0x83df6110b9f8e3a67e3c456298883beb261d355a","3.72706888853038E+17","No"
"0x93f5af632ce523286e033f0510e9b3c9710f4489","2.50929880238748E+26","No"
"0xf3a894b565d15e03ab537525275e87d1c929644a","1","No"
"0x85246d130846a8f274286327b0d32354e9eb02a6","1E+28","No"
"0xd416b0a548a47dd6130d4920dacf4a97b5e3b184","3.26812537910489E+26","No"
"0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d","1","No"
"0x000000000027d2efc283613d0c3e24a8b430c4d8","1","No"
"0x000000000000084e91743124a982076c59f10084","1","No"
"0x02da3f614f7b6235da576a294a997a494c3c3828","1.23394818243585E+23","No"
"0xd5481896dbf71653735b0931a194fa348ca0b0a0","6310860888892","No"
"0xcf589fedd3ea0cfbfab909283c2ceb69e9d92800","2.94802578731291E+26","No"
"0xd828bc22778a2b58371de05d2e8c7c5ca873f338","6E+15","No"
"0xdde2fd6bb908980e45a9fa6f57fd489704b93aa5","1.04583931468176E+28","No"
"0x2004c3468e4e01ab7b0b3223a5a117727c9cbb52","6.10669269711377E+20","No"
"0x66f049111958809841bbe4b81c034da2d953aa0c","155","No"
"0x67488ea3227cac5669b140302a973120e664ed2d","1.001E+26","No"
"0x758a9ec9d0e22f01b72cead60a76093b17c80246","3.46899813235763E+26","No"
"0x367b37fb1aee82c11f66aaf322383a69eacbf404","1.21293079702577E+18","No"
"0xe26510933eaadc7839668050ae910ca6369aae82","1.68146989696938E+17","No"
"0x3709d736f2615ae8e2f429e63aa3e1494b353d94","94248767494696","No"
"0x5c179160e29261eff49545d07b9eec6e57092b80","4.52899417417088E+17","No"
"0xf92c063c6b06eb68085bda559467027a6ab922c1","1.86575731941945E+17","No"
"0x5b8b5c10e7e37a24e76a0d1bb0a1dd97fde40d15","7.74247841986667E+17","No"
"0x3b17f0c62ecf2a47ce0fc7e368a6c2cf262fe3e7","4.00011327662662E+27","No"
"0x109e832d6c8732edc82ee3fd62fa67c57354668d","4.69382133822839E+26","No"
"0x757e03a74de62f5fcdd31dc6380248d279452d5d","2.55588217077576E+27","No"
